X	fragments	sample
9x20	48892	Bladder111
47x26	55825	Bladder111
63x39	21131	Bladder111
65x38	20503	Bladder111
23x64	13876	Bladder111
60x16	47649	Bladder111
20x55	17639	Bladder111
64x57	23390	Bladder111
59x57	35523	Bladder111
46x24	34546	Bladder111
18x56	2731	Bladder111
43x46	34160	Bladder111
50x55	20941	Bladder111
68x50	44027	Bladder111
33x9	28901	Bladder111
35x14	23458	Bladder111
1x11	57737	Bladder111
5x35	59318	Bladder111
46x3	34825	Bladder111
57x50	28182	Bladder111
35x30	25624	Bladder111
4x31	65954	Bladder111
18x46	6494	Bladder111
61x69	23319	Bladder111
67x47	46267	Bladder111
68x13	111341	Bladder111
72x24	42381	Bladder111
40x46	74153	Bladder111
6x47	29624	Bladder111
59x36	28112	Bladder111
38x53	29090	Bladder111
56x42	22096	Bladder111
38x28	56440	Bladder111
64x67	30270	Bladder111
49x24	28245	Bladder111
63x57	14943	Bladder111
43x54	27592	Bladder111
40x65	32535	Bladder111
54x33	31601	Bladder111
66x3	75069	Bladder111
53x46	33567	Bladder111
68x25	81052	Bladder111
43x44	26217	Bladder111
50x68	42410	Bladder111
15x51	9808	Bladder111
12x2	23261	Bladder111
18x31	7817	Bladder111
13x21	64741	Bladder111
60x30	31823	Bladder111
44x19	56448	Bladder111
49x59	15524	Bladder111
15x60	12811	Bladder111
11x14	48861	Bladder111
4x30	61673	Bladder111
10x27	42988	Bladder111
7x41	40407	Bladder111
36x35	21380	Bladder111
63x4	35209	Bladder111
37x8	56239	Bladder111
27x62	9913	Bladder111
3x70	22227	Bladder111
18x28	9370	Bladder111
62x32	43989	Bladder111
31x43	38593	Bladder111
67x66	23461	Bladder111
12x62	8586	Bladder111
37x25	104619	Bladder111
30x7	20570	Bladder111
58x50	32256	Bladder111
68x33	44212	Bladder111
57x12	32288	Bladder111
61x62	17139	Bladder111
40x27	46819	Bladder111
48x27	43588	Bladder111
7x66	27127	Bladder111
45x50	37861	Bladder111
65x20	41746	Bladder111
41x13	42716	Bladder111
35x3	16380	Bladder111
37x63	22359	Bladder111
62x65	18074	Bladder111
8x10	34707	Bladder111
56x68	32441	Bladder111
29x63	12671	Bladder111
52x40	44782	Bladder111
11x41	31276	Bladder111
6x31	51555	Bladder111
65x47	29205	Bladder111
13x8	30901	Bladder111
15x63	7380	Bladder111
42x5	37637	Bladder111
41x62	15395	Bladder111
17x20	41691	Bladder111
53x22	39492	Bladder111
22x71	10244	Bladder111
62x24	40379	Bladder111
11x32	20513	Bladder111
35x70	15806	Bladder111
49x49	21249	Bladder111
41x60	21900	Bladder111
8x22	44132	Bladder111
65x71	7692	Bladder111
21x22	44556	Bladder111
18x30	6522	Bladder111
72x62	25979	Bladder111
4x1	48907	Bladder111
55x50	42560	Bladder111
44x37	27016	Bladder111
61x28	42589	Bladder111
33x66	25252	Bladder111
25x21	66938	Bladder111
16x18	35506	Bladder111
64x53	27229	Bladder111
42x61	15528	Bladder111
57x42	33366	Bladder111
10x65	11066	Bladder111
59x6	23865	Bladder111
57x23	42552	Bladder111
39x35	74171	Bladder111
31x31	35247	Bladder111
35x60	12612	Bladder111
46x26	48317	Bladder111
34x45	22935	Bladder111
48x55	24270	Bladder111
29x47	39535	Bladder111
5x18	59814	Bladder111
33x55	13257	Bladder111
37x69	54544	Bladder111
12x59	12025	Bladder111
4x52	25148	Bladder111
70x9	52231	Bladder111
48x10	58416	Bladder111
60x45	30640	Bladder111
55x44	21975	Bladder111
58x38	36766	Bladder111
57x31	35737	Bladder111
17x36	52893	Bladder111
48x33	61600	Bladder111
25x41	41549	Bladder111
30x2	29732	Bladder111
44x21	58396	Bladder111
35x10	14648	Bladder111
19x60	20216	Bladder111
4x20	67693	Bladder111
59x19	30910	Bladder111
25x61	10768	Bladder111
66x64	11785	Bladder111
22x32	27116	Bladder111
62x38	37453	Bladder111
65x41	20855	Bladder111
16x19	24355	Bladder111
43x69	42874	Bladder111
22x69	16781	Bladder111
34x64	11263	Bladder111
36x39	40045	Bladder111
2x59	20036	Bladder111
6x72	90512	Bladder111
72x50	80703	Bladder111
22x63	8608	Bladder111
72x18	31471	Bladder111
34x32	23006	Bladder111
65x24	23925	Bladder111
64x47	39957	Bladder111
16x33	42054	Bladder111
46x32	47747	Bladder111
59x18	37874	Bladder111
9x70	17286	Bladder111
67x28	46472	Bladder111
22x20	34768	Bladder111
70x33	89472	Bladder111
53x62	14698	Bladder111
46x8	29047	Bladder111
31x38	37899	Bladder111
57x40	38534	Bladder111
41x30	35729	Bladder111
8x40	57644	Bladder111
32x29	29984	Bladder111
19x71	23638	Bladder111
6x21	51800	Bladder111
72x11	26060	Bladder111
48x22	52636	Bladder111
4x55	36758	Bladder111
18x47	6021	Bladder111
39x55	24099	Bladder111
37x43	89609	Bladder111
53x68	47910	Bladder111
63x23	34460	Bladder111
33x49	27660	Bladder111
21x44	31683	Bladder111
37x59	38437	Bladder111
42x69	37249	Bladder111
27x51	11519	Bladder111
26x9	21026	Bladder111
52x51	13614	Bladder111
42x52	18608	Bladder111
55x38	26927	Bladder111
64x6	36377	Bladder111
60x1	49214	Bladder111
39x25	75499	Bladder111
58x5	50357	Bladder111
20x28	34159	Bladder111
27x49	16366	Bladder111
50x58	19916	Bladder111
51x45	34019	Bladder111
37x31	68352	Bladder111
21x49	17535	Bladder111
53x39	43189	Bladder111
48x25	58571	Bladder111
50x40	56642	Bladder111
34x48	56180	Bladder111
13x47	34729	Bladder111
55x27	40876	Bladder111
34x28	28096	Bladder111
